Month,Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Feature
Sep,Finance,16563,14641,-1922,Apple Store,online shopping,2026-02-10,Shopping
Aug,Finance,13591,15660,2069,Flipkart,online_shopping,2026-09-24,Shopping
Feb,HR,13801,15302,1501,Apple Store,online shopping,2029-06-29,Shopping
Jan,Finance,16967,14000,-2967,Starbucks,food,2023-12-30,Food & Dining
Apr,Marketing,6963,9727,2764,Netflix,movie,2024-06-17,Entertainment
Mar,HR,5354,6831,1477,Uber,ride to work,2026-11-21,Transportation
Feb,Sales,14565,14677,112,Starbucks,coffee,2029-10-05,Food & Dining
Nov,Operations,18291,17585,-706,Netflix,movie,2028-04-19,Entertainment
Dec,Finance,7643,5871,-1772,Flipkart,online_shopping,2023-06-06,Shopping
Aug,Marketing,16224,16429,205,Netflix,monthly subscription,2028-07-14,Subscription
Dec,Operations,15805,16166,361,Netflix,monthly subscription,2028-05-27,Subscription
Jan,HR,11049,8398,-2651,McDonald's,coffee purchase,2029-09-12,Food & Dining
Apr,Finance,7235,9579,2344,Apple Store,online shopping,2024-06-17,Shopping
May,Marketing,8049,7092,-957,McDonald's,coffee purchase,2024-06-12,Food & Dining
Aug,Operations,5433,2594,-2839,Netflix,movie,2023-02-27,Entertainment
Jan,Operations,8808,6801,-2007,Uber,ride to work,2028-03-11,Transportation
Jun,HR,15523,16880,1357,Netflix,movie subscription,2025-11-23,Entertainment
Sep,HR,18422,19568,1146,Netflix,monthly subscription,2024-09-22,Subscription
Mar,HR,17983,15175,-2808,Apple Store,app purchase,2024-03-16,Digital Services
Aug,HR,8399,9537,1138,Netflix,monthly subscription,2023-12-21,Subscription
Jun,Operations,13839,12800,-1039,Amazon,movie subscription,2024-11-15,Entertainment
Jun,Marketing,7892,7302,-590,McDonald's,coffee purchase,2023-07-24,Food & Dining
Jul,Finance,19177,20171,994,McDonald's,drinks,2028-12-24,Food & Dining
Oct,Finance,10724,11770,1046,Shell,diesel,2026-02-02,Fuel
Jun,Marketing,19884,20453,569,Amazon,online shopping,2025-11-15,Shopping
May,Marketing,17958,20460,2502,Apple Store,online shopping,2024-06-19,Shopping
Feb,Operations,17682,16480,-1202,Amazon,movie subscription,2029-02-10,Entertainment
Nov,Finance,11943,13875,1932,McDonald's,drinks,2024-04-05,Food & Dining
Oct,Operations,16031,17699,1668,McDonald's,food,2023-05-15,Food & Dining
Nov,HR,11098,11747,649,Netflix,entertainment,2029-02-15,Entertainment
Aug,HR,15557,12888,-2669,Amazon,movie subscription,2025-12-07,Entertainment
Oct,Operations,18580,20593,2013,Starbucks,food,2029-08-05,Food & Dining
May,Finance,10558,12546,1988,Starbucks,food,2025-01-12,Food & Dining
Mar,HR,15104,14413,-691,Apple Store,app purchase,2024-05-11,Digital Services
Mar,HR,9237,7336,-1901,Shell,diesel,2029-06-12,Fuel
Feb,Finance,5599,7117,1518,McDonald's,meal,2026-04-19,Food & Dining
Jun,Sales,8042,6299,-1743,McDonald's,meal,2026-08-31,Food & Dining
Jul,HR,7273,7484,211,Shell,fuel purchase,2028-05-13,Fuel
Dec,IT,14930,15339,409,McDonald's,coffee purchase,2029-08-10,Food & Dining
Jul,Operations,9189,12056,2867,Shell,diesel,2025-12-27,Fuel
May,HR,10002,7913,-2089,Starbucks,coffee,2029-03-31,Food & Dining
Nov,Sales,16566,18813,2247,McDonald's,food,2026-11-26,Food & Dining
Dec,Sales,10726,12211,1485,Shell,fuel purchase,2028-08-19,Fuel
Feb,Sales,15132,16329,1197,Flipkart,online shopping,2026-11-03,Shopping
May,HR,15926,16513,587,Starbucks,coffee,2029-02-12,Food & Dining
Apr,HR,12393,12762,369,Uber,ride,2024-05-11,Transportation
May,IT,7151,8023,872,Starbucks,drinks,2027-12-12,Food & Dining
Oct,IT,14587,14003,-584,Amazon,online_shopping,2026-12-17,Shopping
Sep,Marketing,11570,10535,-1035,Starbucks,coffee,2023-12-28,Food & Dining
Jan,Marketing,12633,10049,-2584,Uber,ride,2027-07-19,Transportation
Nov,Operations,10997,8779,-2218,Apple Store,app purchase,2028-08-20,Digital Services
Jan,Sales,9060,6310,-2750,Uber,travel,2028-01-10,Transportation
May,IT,17530,17550,20,Shell,diesel,2028-08-25,Fuel
Sep,HR,6683,8498,1815,Uber,ride to work,2028-01-07,Transportation
Jul,HR,11156,12146,990,Apple Store,app purchase,2023-02-05,Digital Services
Dec,HR,14129,16524,2395,McDonald's,coffee purchase,2029-02-19,Food & Dining
Jan,Marketing,18481,16878,-1603,Amazon,online shopping,2029-05-23,Shopping
Sep,Finance,12612,12756,144,Shell,petrol,2026-06-02,Fuel
May,Finance,10407,9757,-650,Uber,ride,2025-03-02,Transportation
May,Marketing,17079,17290,211,Apple Store,app purchase,2028-06-03,Digital Services
Oct,Marketing,19454,17235,-2219,Starbucks,coffee,2027-08-12,Food & Dining
Dec,Sales,16217,15941,-276,Amazon,online_shopping,2024-10-19,Shopping
Jul,HR,9397,11696,2299,Shell,fuel purchase,2027-12-11,Fuel
Nov,IT,6652,6314,-338,Starbucks,coffee,2029-10-06,Food & Dining
Jan,Operations,19614,21052,1438,Shell,fuel purchase,2029-06-16,Fuel
Nov,HR,12622,10562,-2060,Uber,travel,2028-11-13,Transportation
Sep,Sales,10852,12986,2134,Uber,travel,2027-05-05,Transportation
Nov,Sales,8333,8528,195,Apple Store,app purchase,2027-05-17,Digital Services
Aug,Marketing,14732,16410,1678,Netflix,movie subscription,2026-12-16,Entertainment
Jul,HR,7225,5626,-1599,Uber,ride,2023-04-02,Transportation
Jun,IT,12659,11411,-1248,Netflix,movie,2028-02-08,Entertainment
Feb,Finance,5259,3999,-1260,Starbucks,coffee,2024-04-14,Food & Dining
Oct,Marketing,8308,6472,-1836,Shell,diesel,2027-10-08,Fuel
Nov,Sales,15249,13736,-1513,McDonald's,coffee purchase,2028-04-19,Food & Dining
Feb,Operations,5032,5005,-27,Shell,diesel,2027-02-11,Fuel
Oct,IT,18284,17308,-976,Amazon,movie subscription,2024-06-24,Entertainment
Nov,Finance,15776,15465,-311,Netflix,movie,2024-06-08,Entertainment
Oct,HR,15307,13600,-1707,Shell,diesel,2024-04-22,Fuel
Jun,HR,5551,3969,-1582,Uber,ride,2027-08-27,Transportation
Nov,Finance,8357,7015,-1342,Flipkart,movie subscription,2029-07-15,Entertainment
Dec,Marketing,15661,14162,-1499,Starbucks,food,2025-07-14,Food & Dining
Jan,Sales,10559,12730,2171,Flipkart,online_shopping,2025-06-28,Shopping
Oct,IT,7493,9196,1703,McDonald's,food,2025-01-24,Food & Dining
Mar,HR,19522,19351,-171,Netflix,entertainment,2025-02-06,Entertainment
Aug,Sales,10760,13208,2448,Apple Store,online shopping,2028-08-09,Shopping
Sep,Sales,10868,12899,2031,Netflix,movie,2023-11-08,Entertainment
Feb,HR,12468,12268,-200,Starbucks,drinks,2026-06-01,Food & Dining
Apr,Marketing,16420,18257,1837,Amazon,online shopping,2029-11-02,Shopping
Nov,Sales,11072,13306,2234,Starbucks,coffee,2025-11-01,Food & Dining
Oct,Marketing,5530,3285,-2245,Apple Store,app purchase,2025-05-29,Digital Services
Feb,Operations,18521,16884,-1637,Shell,diesel,2028-09-01,Fuel
Aug,Marketing,14275,14020,-255,Starbucks,food,2025-11-30,Food & Dining
May,Marketing,16945,18552,1607,Shell,petrol,2029-09-01,Fuel
Dec,HR,19679,21610,1931,Shell,fuel purchase,2025-04-19,Fuel
Jan,IT,8005,10872,2867,McDonald's,food,2029-05-04,Food & Dining
Nov,Finance,15817,13147,-2670,Apple Store,app purchase,2026-02-21,Digital Services
Dec,Operations,17841,17948,107,Starbucks,drinks,2025-07-21,Food & Dining
Jul,Operations,14070,11348,-2722,Flipkart,online shopping,2026-10-13,Shopping
Mar,IT,14994,13686,-1308,Starbucks,drinks,2024-02-11,Food & Dining
Apr,IT,9971,12916,2945,Flipkart,online shopping,2025-12-25,Shopping
Jul,IT,6439,7906,1467,Flipkart,online_shopping,2024-12-13,Shopping
Jan,IT,8845,8523,-322,Uber,ride,2027-07-08,Transportation
May,IT,16115,17143,1028,Shell,diesel,2027-08-28,Fuel
Feb,IT,17585,14720,-2865,Flipkart,online shopping,2027-05-05,Shopping
Jun,IT,18996,20965,1969,Flipkart,movie subscription,2027-10-22,Entertainment
Apr,IT,12235,9957,-2278,Netflix,movie,2029-06-02,Entertainment
Aug,Sales,7753,9077,1324,Netflix,movie subscription,2029-03-14,Entertainment
Jun,IT,7970,10847,2877,Starbucks,coffee,2023-09-06,Food & Dining
Aug,Marketing,10567,8878,-1689,Flipkart,online shopping,2023-08-08,Shopping
Jul,IT,10223,9899,-324,Netflix,movie,2028-09-24,Entertainment
Jan,IT,9763,10466,703,Netflix,entertainment,2023-08-13,Entertainment
May,Sales,16237,15853,-384,Uber,travel,2023-02-11,Transportation
Aug,HR,5641,7159,1518,Apple Store,online shopping,2029-05-20,Shopping
Jan,IT,9941,11947,2006,McDonald's,meal,2023-09-17,Food & Dining
Oct,Sales,13184,12183,-1001,Shell,diesel,2028-02-18,Fuel
Mar,Sales,8452,9980,1528,McDonald's,meal,2027-04-09,Food & Dining
Mar,HR,8590,8143,-447,Apple Store,app purchase,2026-09-23,Digital Services
Dec,IT,9346,6939,-2407,Shell,petrol,2027-05-03,Fuel
Feb,Sales,15665,16162,497,Flipkart,movie subscription,2026-06-12,Entertainment
Dec,Finance,10248,11405,1157,Amazon,online shopping,2028-07-07,Shopping
Feb,Sales,17424,19066,1642,Shell,petrol,2027-07-28,Fuel
Dec,HR,16454,13933,-2521,Amazon,online_shopping,2028-10-30,Shopping
Jul,Marketing,13851,13780,-71,Shell,petrol,2024-06-13,Fuel
Sep,Finance,7136,9504,2368,Amazon,movie subscription,2028-04-26,Entertainment
Sep,Operations,13991,15688,1697,Netflix,movie subscription,2026-10-10,Entertainment
Mar,Marketing,16912,14781,-2131,Shell,diesel,2023-10-14,Fuel
Oct,Sales,6523,9309,2786,Starbucks,coffee,2028-11-10,Food & Dining
May,Sales,10838,12084,1246,Starbucks,coffee,2029-07-04,Food & Dining
May,Finance,6314,4748,-1566,Shell,petrol,2025-05-26,Fuel
May,Sales,13620,13637,17,Amazon,movie subscription,2028-06-07,Entertainment
Nov,Finance,19342,20415,1073,Uber,travel,2026-03-05,Transportation
Jun,Operations,14910,13445,-1465,Shell,diesel,2029-03-19,Fuel
Nov,Finance,6410,7820,1410,McDonald's,drinks,2027-06-01,Food & Dining
May,Marketing,10338,7542,-2796,McDonald's,food,2028-05-15,Food & Dining
Oct,Marketing,19839,21246,1407,Shell,diesel,2025-09-16,Fuel
Feb,Sales,12875,10020,-2855,Amazon,online shopping,2029-06-07,Shopping
Jan,Sales,5923,3561,-2362,Shell,fuel purchase,2028-05-09,Fuel
Sep,Finance,6710,7428,718,Flipkart,online shopping,2026-06-22,Shopping
Feb,IT,14331,12377,-1954,Amazon,movie subscription,2024-10-31,Entertainment
Aug,HR,5689,8277,2588,Shell,petrol,2027-07-05,Fuel
Oct,HR,6411,4170,-2241,Starbucks,coffee,2025-02-07,Food & Dining
Jun,IT,9942,8111,-1831,Uber,ride,2029-03-06,Transportation
Mar,IT,8720,10294,1574,Shell,petrol,2029-03-23,Fuel
May,Finance,18208,17995,-213,Shell,petrol,2027-08-11,Fuel
Jul,Sales,16354,13596,-2758,Apple Store,app purchase,2023-01-11,Digital Services
Jun,HR,6315,6399,84,Amazon,online_shopping,2029-03-22,Shopping
Oct,Marketing,6694,9158,2464,Amazon,movie subscription,2023-03-23,Entertainment
Aug,IT,11304,9800,-1504,Starbucks,food,2023-03-07,Food & Dining
Mar,Marketing,16055,15478,-577,Apple Store,online shopping,2028-05-30,Shopping
Jan,Marketing,17011,17243,232,Amazon,online shopping,2028-10-02,Shopping
Dec,IT,18835,16625,-2210,Starbucks,drinks,2026-07-21,Food & Dining
Oct,HR,15857,17400,1543,McDonald's,meal,2028-01-28,Food & Dining
May,Sales,7671,7127,-544,McDonald's,drinks,2025-03-04,Food & Dining
Mar,Operations,8135,6626,-1509,Apple Store,online shopping,2024-03-02,Shopping
Apr,Finance,13898,13710,-188,Flipkart,online_shopping,2026-12-01,Shopping
Mar,Marketing,8200,8283,83,Netflix,entertainment,2025-12-11,Entertainment
Feb,Sales,9196,6300,-2896,McDonald's,food,2026-10-21,Food & Dining
Dec,Operations,11925,11312,-613,McDonald's,coffee purchase,2025-09-05,Food & Dining
Oct,Operations,5112,7327,2215,Apple Store,online shopping,2027-03-21,Shopping
Jan,Marketing,13362,10892,-2470,Netflix,movie subscription,2025-09-10,Entertainment
Feb,HR,16187,14749,-1438,Shell,diesel,2023-05-09,Fuel
Feb,Marketing,10920,9045,-1875,Starbucks,drinks,2029-05-18,Food & Dining
Jul,HR,18518,19552,1034,Starbucks,drinks,2025-12-08,Food & Dining
Jul,IT,9324,10247,923,Netflix,monthly subscription,2029-06-06,Subscription
Mar,Operations,18839,21418,2579,Amazon,movie subscription,2025-09-03,Entertainment
Oct,IT,12670,14071,1401,Shell,diesel,2027-12-26,Fuel
Oct,Sales,19285,19966,681,Uber,ride to work,2025-10-04,Transportation
Jun,Operations,10983,13103,2120,Uber,ride to work,2025-03-06,Transportation
Feb,Finance,19890,19643,-247,Shell,petrol,2024-02-01,Fuel
Mar,HR,6968,7642,674,Apple Store,app purchase,2024-07-31,Digital Services
May,HR,5237,5508,271,Uber,travel,2027-11-11,Transportation
Jan,HR,8744,9533,789,Flipkart,online_shopping,2023-11-12,Shopping
Aug,IT,15391,13536,-1855,McDonald's,drinks,2023-10-23,Food & Dining
Aug,Sales,7058,8931,1873,McDonald's,coffee purchase,2026-12-13,Food & Dining
Nov,Operations,13547,10603,-2944,Flipkart,movie subscription,2025-09-07,Entertainment
Aug,IT,6091,5319,-772,Shell,diesel,2028-03-20,Fuel
Apr,Operations,6619,7038,419,Netflix,entertainment,2029-04-10,Entertainment
Mar,Marketing,12175,13230,1055,Starbucks,drinks,2028-09-24,Food & Dining
Aug,HR,8918,6705,-2213,Netflix,movie subscription,2024-02-02,Entertainment
Feb,Sales,12086,15047,2961,Starbucks,coffee,2025-03-17,Food & Dining
Mar,Operations,7489,4551,-2938,Shell,petrol,2023-08-22,Fuel
May,Operations,5360,3997,-1363,Amazon,movie subscription,2023-03-06,Entertainment
May,HR,18803,16879,-1924,Uber,ride to work,2023-01-29,Transportation
Mar,Marketing,15271,12554,-2717,Flipkart,online shopping,2028-04-09,Shopping
Dec,Finance,17059,15685,-1374,Uber,ride,2024-01-18,Transportation
Feb,Operations,10977,9287,-1690,Uber,ride,2027-03-26,Transportation
Nov,Finance,16743,17051,308,Netflix,monthly subscription,2026-09-21,Subscription
Feb,IT,14638,16153,1515,Starbucks,drinks,2029-08-27,Food & Dining
Oct,IT,16934,19609,2675,Starbucks,food,2026-11-30,Food & Dining
Jun,HR,14659,16173,1514,Shell,petrol,2023-03-05,Fuel
Apr,Sales,11612,13501,1889,Starbucks,food,2028-01-10,Food & Dining
Feb,Marketing,13630,11414,-2216,Flipkart,online_shopping,2029-09-24,Shopping
Oct,Operations,6961,4900,-2061,Flipkart,movie subscription,2027-05-06,Entertainment
Aug,HR,17913,18778,865,Amazon,online shopping,2028-04-27,Shopping
Jun,Finance,15282,14083,-1199,Netflix,movie,2024-04-11,Entertainment
Feb,Finance,19303,20348,1045,Shell,diesel,2027-06-20,Fuel
May,Operations,18392,16720,-1672,Starbucks,coffee,2024-07-08,Food & Dining
Feb,Marketing,7553,9018,1465,Uber,ride,2024-04-29,Transportation
Jul,Sales,7970,7150,-820,Uber,ride,2028-10-02,Transportation
Nov,Operations,13825,12327,-1498,Uber,ride,2027-12-21,Transportation
Jul,Sales,12366,14352,1986,Flipkart,movie subscription,2028-07-10,Entertainment
Sep,Finance,10021,11026,1005,Netflix,entertainment,2025-08-03,Entertainment
May,IT,8572,10144,1572,Starbucks,drinks,2024-10-13,Food & Dining
Sep,IT,17474,14670,-2804,Starbucks,coffee,2023-05-10,Food & Dining
Apr,Marketing,12142,11930,-212,Apple Store,online shopping,2023-07-27,Shopping
Apr,Marketing,6653,7110,457,Starbucks,drinks,2023-12-26,Food & Dining
Sep,Finance,19128,21120,1992,Flipkart,movie subscription,2023-02-27,Entertainment
Nov,HR,6443,4099,-2344,Netflix,monthly subscription,2029-09-27,Subscription
Nov,Marketing,8153,5706,-2447,Starbucks,coffee,2028-12-07,Food & Dining
