Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Category
Operations,11253,11560,307,Starbucks,coffee,27 January 2023,Food & Dining
Sales,17317,20087,2770,Apple Store,online shopping,28 January 2023,Shopping
Finance,9259,7555,-1704,Apple Store,app purchase,29 January 2023,Digital Services
Sales,13902,12117,-1785,Netflix,movie subscription,30 January 2023,Entertainment
Operations,12091,10011,-2080,Uber,ride to work,31 January 2023,Transportation
Finance,18811,20803,1992,Uber,ride,01 February 2023,Transportation
IT,12443,15147,2704,Starbucks,food,02 February 2023,Food & Dining
IT,14425,11591,-2834,Netflix,monthly subscription,03 February 2023,Subscription
IT,17875,15033,-2842,McDonald's,meal,04 February 2023,Food & Dining
Operations,9416,7343,-2073,McDonald's,drinks,05 February 2023,Food & Dining
Marketing,5273,5053,-220,Shell,petrol,06 February 2023,Fuel
Marketing,11036,12653,1617,Starbucks,food,07 February 2023,Food & Dining
Marketing,5356,7114,1758,Uber,ride to work,08 February 2023,Transportation
Marketing,7094,7584,490,Starbucks,drinks,09 February 2023,Food & Dining
Marketing,19171,16669,-2502,Uber,ride,10 February 2023,Transportation
IT,7855,10027,2172,Netflix,monthly subscription,11 February 2023,Subscription
IT,18543,18425,-118,Starbucks,food,12 February 2023,Food & Dining
Finance,9546,11349,1803,Uber,ride to work,13 February 2023,Transportation
Finance,17823,16114,-1709,Flipkart,movie subscription,14 February 2023,Entertainment
Finance,10959,8005,-2954,Flipkart,online shopping,15 February 2023,Shopping
Marketing,14305,14187,-118,Netflix,movie,16 February 2023,Entertainment
Sales,16852,18380,1528,Starbucks,food,17 February 2023,Food & Dining
Marketing,11601,12362,761,Netflix,movie subscription,18 February 2023,Entertainment
Marketing,12361,9605,-2756,Shell,petrol,19 February 2023,Fuel
Finance,15044,15358,314,Starbucks,drinks,20 February 2023,Food & Dining
IT,18099,17445,-654,Flipkart,online shopping,21 February 2023,Shopping
Marketing,17761,17012,-749,Amazon,online shopping,22 February 2023,Shopping
Operations,12481,11014,-1467,McDonald's,meal,23 February 2023,Food & Dining
Finance,12971,14761,1790,Shell,diesel,24 February 2023,Fuel
Marketing,12636,12929,293,Apple Store,app purchase,25 February 2023,Digital Services
Operations,10740,12542,1802,Shell,diesel,26 February 2023,Fuel
IT,13929,11880,-2049,Flipkart,online_shopping,27 February 2023,Shopping
Sales,16406,15931,-475,Netflix,monthly subscription,28 February 2023,Subscription
Sales,18376,19933,1557,Apple Store,app purchase,01 March 2023,Digital Services
Sales,19195,19920,725,Uber,ride to work,02 March 2023,Transportation
Sales,15233,16631,1398,Netflix,movie subscription,03 March 2023,Entertainment
Operations,7317,5877,-1440,McDonald's,drinks,04 March 2023,Food & Dining
Finance,6720,5701,-1019,Amazon,online_shopping,05 March 2023,Shopping
Operations,5481,3300,-2181,Netflix,movie,06 March 2023,Entertainment
HR,10401,11538,1137,Apple Store,app purchase,07 March 2023,Digital Services
IT,9634,7981,-1653,Starbucks,drinks,08 March 2023,Food & Dining
Marketing,19978,19935,-43,Uber,ride to work,09 March 2023,Transportation
Finance,18120,16678,-1442,Amazon,online_shopping,10 March 2023,Shopping
Sales,6365,4050,-2315,Uber,ride,11 March 2023,Transportation
Finance,17726,19338,1612,Amazon,online shopping,12 March 2023,Shopping
IT,9445,7182,-2263,Uber,ride,13 March 2023,Transportation
Sales,11326,14041,2715,Starbucks,drinks,14 March 2023,Food & Dining
IT,8442,6118,-2324,Starbucks,food,15 March 2023,Food & Dining
Finance,6112,6493,381,Apple Store,online shopping,16 March 2023,Shopping
Marketing,13028,12663,-365,Flipkart,online shopping,17 March 2023,Shopping
HR,12796,10729,-2067,McDonald's,meal,18 March 2023,Food & Dining
Finance,15977,18871,2894,Flipkart,online_shopping,19 March 2023,Shopping
Marketing,5238,5726,488,McDonald's,coffee purchase,20 March 2023,Food & Dining
Finance,19426,21949,2523,Shell,fuel purchase,21 March 2023,Fuel
IT,5903,6780,877,Starbucks,food,22 March 2023,Food & Dining
Finance,19676,17246,-2430,Netflix,movie subscription,23 March 2023,Entertainment
Finance,7134,9608,2474,Uber,ride,24 March 2023,Transportation
Marketing,16130,17310,1180,Flipkart,online shopping,25 March 2023,Shopping
Operations,19842,18193,-1649,Starbucks,drinks,26 March 2023,Food & Dining
Operations,9329,6732,-2597,Apple Store,app purchase,27 March 2023,Digital Services
HR,19092,17313,-1779,Amazon,online_shopping,28 March 2023,Shopping
Operations,7095,5610,-1485,Starbucks,food,29 March 2023,Food & Dining
Marketing,19813,21133,1320,Starbucks,drinks,30 March 2023,Food & Dining
Marketing,11560,14295,2735,Apple Store,online shopping,31 March 2023,Shopping
IT,7916,6213,-1703,Starbucks,drinks,01 April 2023,Food & Dining
Finance,13880,12939,-941,Amazon,movie subscription,02 April 2023,Entertainment
Sales,16172,15119,-1053,Apple Store,online shopping,03 April 2023,Shopping
HR,12137,11461,-676,Netflix,movie subscription,04 April 2023,Entertainment
HR,9146,6512,-2634,Starbucks,food,05 April 2023,Food & Dining
Operations,19146,17949,-1197,McDonald's,drinks,06 April 2023,Food & Dining
IT,12030,11361,-669,Starbucks,coffee,07 April 2023,Food & Dining
IT,10852,8946,-1906,Shell,fuel purchase,08 April 2023,Fuel
Operations,13718,15212,1494,Apple Store,online shopping,09 April 2023,Shopping
HR,13109,13298,189,Shell,petrol,10 April 2023,Fuel
Operations,19013,18433,-580,Shell,petrol,11 April 2023,Fuel
HR,11163,8240,-2923,Flipkart,online_shopping,12 April 2023,Shopping
HR,6891,6937,46,Amazon,online_shopping,13 April 2023,Shopping
HR,14526,16084,1558,Apple Store,online shopping,14 April 2023,Shopping
Marketing,9074,10284,1210,Shell,diesel,15 April 2023,Fuel
IT,7276,8141,865,Uber,ride to work,16 April 2023,Transportation
HR,19574,18545,-1029,Starbucks,drinks,17 April 2023,Food & Dining
HR,18227,18807,580,Starbucks,food,18 April 2023,Food & Dining
Finance,14448,16267,1819,Flipkart,online shopping,19 April 2023,Shopping
Marketing,8218,10173,1955,Shell,fuel purchase,20 April 2023,Fuel
Finance,14371,15168,797,Netflix,movie subscription,21 April 2023,Entertainment
Finance,13384,14567,1183,Starbucks,drinks,22 April 2023,Food & Dining
Operations,14517,11837,-2680,Flipkart,online_shopping,23 April 2023,Shopping
Operations,6106,5245,-861,Apple Store,online shopping,24 April 2023,Shopping
Marketing,13399,12576,-823,Amazon,online shopping,25 April 2023,Shopping
Operations,11751,10603,-1148,Starbucks,drinks,26 April 2023,Food & Dining
Operations,16776,17577,801,Shell,petrol,27 April 2023,Fuel
IT,10792,7952,-2840,Flipkart,online shopping,28 April 2023,Shopping
Marketing,9311,9194,-117,Shell,fuel purchase,29 April 2023,Fuel
HR,17937,20691,2754,McDonald's,drinks,30 April 2023,Food & Dining
Operations,15459,13181,-2278,Amazon,movie subscription,01 May 2023,Entertainment
Marketing,19565,18580,-985,Netflix,movie subscription,02 May 2023,Entertainment
Finance,13331,11694,-1637,Netflix,movie subscription,03 May 2023,Entertainment
Operations,19684,17162,-2522,Flipkart,online shopping,04 May 2023,Shopping
Marketing,19668,21175,1507,Starbucks,coffee,05 May 2023,Food & Dining
IT,5662,3915,-1747,Starbucks,drinks,06 May 2023,Food & Dining
Operations,7280,9387,2107,Amazon,online_shopping,07 May 2023,Shopping
IT,15056,15654,598,Uber,ride to work,08 May 2023,Transportation
Sales,8402,10129,1727,Amazon,online_shopping,09 May 2023,Shopping
Marketing,15982,13192,-2790,Flipkart,online_shopping,10 May 2023,Shopping
Marketing,7223,4439,-2784,McDonald's,food,11 May 2023,Food & Dining
IT,19980,22436,2456,Apple Store,online shopping,12 May 2023,Shopping
Operations,15912,13325,-2587,Apple Store,online shopping,13 May 2023,Shopping
HR,14749,12796,-1953,Starbucks,coffee,14 May 2023,Food & Dining
Operations,13641,11743,-1898,Apple Store,online shopping,15 May 2023,Shopping
Marketing,11772,11847,75,Amazon,online_shopping,16 May 2023,Shopping
IT,15277,14730,-547,Apple Store,app purchase,17 May 2023,Digital Services
Finance,19716,18358,-1358,Uber,ride,18 May 2023,Transportation
Operations,17763,16091,-1672,Starbucks,food,19 May 2023,Food & Dining
Marketing,12149,12834,685,Uber,ride to work,20 May 2023,Transportation
Operations,18691,17374,-1317,Netflix,movie subscription,21 May 2023,Entertainment
Sales,15975,15948,-27,McDonald's,coffee purchase,22 May 2023,Food & Dining
Operations,5650,8145,2495,Flipkart,movie subscription,23 May 2023,Entertainment
Finance,16563,14641,-1922,Apple Store,online shopping,24 May 2023,Shopping
Finance,13591,15660,2069,Flipkart,online_shopping,25 May 2023,Shopping
HR,13801,15302,1501,Apple Store,online shopping,26 May 2023,Shopping
Finance,16967,14000,-2967,Starbucks,food,27 May 2023,Food & Dining
Marketing,6963,9727,2764,Netflix,movie,28 May 2023,Entertainment
HR,5354,6831,1477,Uber,ride to work,29 May 2023,Transportation
Sales,14565,14677,112,Starbucks,coffee,30 May 2023,Food & Dining
Operations,18291,17585,-706,Netflix,movie,31 May 2023,Entertainment
Finance,7643,5871,-1772,Flipkart,online_shopping,01 June 2023,Shopping
Marketing,16224,16429,205,Netflix,monthly subscription,02 June 2023,Subscription
Operations,15805,16166,361,Netflix,monthly subscription,03 June 2023,Subscription
HR,11049,8398,-2651,McDonald's,coffee purchase,04 June 2023,Food & Dining
Finance,7235,9579,2344,Apple Store,online shopping,05 June 2023,Shopping
Marketing,8049,7092,-957,McDonald's,coffee purchase,06 June 2023,Food & Dining
Operations,5433,2594,-2839,Netflix,movie,07 June 2023,Entertainment
Operations,8808,6801,-2007,Uber,ride to work,08 June 2023,Transportation
HR,15523,16880,1357,Netflix,movie subscription,09 June 2023,Entertainment
HR,18422,19568,1146,Netflix,monthly subscription,10 June 2023,Subscription
HR,17983,15175,-2808,Apple Store,app purchase,11 June 2023,Digital Services
HR,8399,9537,1138,Netflix,monthly subscription,12 June 2023,Subscription
Operations,13839,12800,-1039,Amazon,movie subscription,13 June 2023,Entertainment
Marketing,7892,7302,-590,McDonald's,coffee purchase,14 June 2023,Food & Dining
Finance,19177,20171,994,McDonald's,drinks,15 June 2023,Food & Dining
Finance,10724,11770,1046,Shell,diesel,16 June 2023,Fuel
Marketing,19884,20453,569,Amazon,online shopping,17 June 2023,Shopping
Marketing,17958,20460,2502,Apple Store,online shopping,18 June 2023,Shopping
Operations,17682,16480,-1202,Amazon,movie subscription,19 June 2023,Entertainment
Finance,11943,13875,1932,McDonald's,drinks,20 June 2023,Food & Dining
Operations,16031,17699,1668,McDonald's,food,21 June 2023,Food & Dining
HR,11098,11747,649,Netflix,entertainment,22 June 2023,Entertainment
HR,15557,12888,-2669,Amazon,movie subscription,23 June 2023,Entertainment
Operations,18580,20593,2013,Starbucks,food,24 June 2023,Food & Dining
Finance,10558,12546,1988,Starbucks,food,25 June 2023,Food & Dining
HR,15104,14413,-691,Apple Store,app purchase,26 June 2023,Digital Services
HR,9237,7336,-1901,Shell,diesel,27 June 2023,Fuel
Finance,5599,7117,1518,McDonald's,meal,28 June 2023,Food & Dining
Sales,8042,6299,-1743,McDonald's,meal,29 June 2023,Food & Dining
HR,7273,7484,211,Shell,fuel purchase,30 June 2023,Fuel
IT,14930,15339,409,McDonald's,coffee purchase,01 July 2023,Food & Dining
Operations,9189,12056,2867,Shell,diesel,02 July 2023,Fuel
HR,10002,7913,-2089,Starbucks,coffee,03 July 2023,Food & Dining
Sales,16566,18813,2247,McDonald's,food,04 July 2023,Food & Dining
Sales,10726,12211,1485,Shell,fuel purchase,05 July 2023,Fuel
Sales,15132,16329,1197,Flipkart,online shopping,06 July 2023,Shopping
HR,15926,16513,587,Starbucks,coffee,07 July 2023,Food & Dining
HR,12393,12762,369,Uber,ride,08 July 2023,Transportation
IT,7151,8023,872,Starbucks,drinks,09 July 2023,Food & Dining
IT,14587,14003,-584,Amazon,online_shopping,10 July 2023,Shopping
Marketing,11570,10535,-1035,Starbucks,coffee,11 July 2023,Food & Dining
Marketing,12633,10049,-2584,Uber,ride,12 July 2023,Transportation
Operations,10997,8779,-2218,Apple Store,app purchase,13 July 2023,Digital Services
Sales,9060,6310,-2750,Uber,travel,14 July 2023,Transportation
IT,17530,17550,20,Shell,diesel,15 July 2023,Fuel
HR,6683,8498,1815,Uber,ride to work,16 July 2023,Transportation
HR,11156,12146,990,Apple Store,app purchase,17 July 2023,Digital Services
HR,14129,16524,2395,McDonald's,coffee purchase,18 July 2023,Food & Dining
Marketing,18481,16878,-1603,Amazon,online shopping,19 July 2023,Shopping
Finance,12612,12756,144,Shell,petrol,20 July 2023,Fuel
Finance,10407,9757,-650,Uber,ride,21 July 2023,Transportation
Marketing,17079,17290,211,Apple Store,app purchase,22 July 2023,Digital Services
Marketing,19454,17235,-2219,Starbucks,coffee,23 July 2023,Food & Dining
Sales,16217,15941,-276,Amazon,online_shopping,24 July 2023,Shopping
HR,9397,11696,2299,Shell,fuel purchase,25 July 2023,Fuel
IT,6652,6314,-338,Starbucks,coffee,26 July 2023,Food & Dining
Operations,19614,21052,1438,Shell,fuel purchase,27 July 2023,Fuel
HR,12622,10562,-2060,Uber,travel,28 July 2023,Transportation
Sales,10852,12986,2134,Uber,travel,29 July 2023,Transportation
Sales,8333,8528,195,Apple Store,app purchase,30 July 2023,Digital Services
Marketing,14732,16410,1678,Netflix,movie subscription,31 July 2023,Entertainment
HR,7225,5626,-1599,Uber,ride,01 August 2023,Transportation
IT,12659,11411,-1248,Netflix,movie,02 August 2023,Entertainment
Finance,5259,3999,-1260,Starbucks,coffee,03 August 2023,Food & Dining
Marketing,8308,6472,-1836,Shell,diesel,04 August 2023,Fuel
Sales,15249,13736,-1513,McDonald's,coffee purchase,05 August 2023,Food & Dining
Operations,5032,5005,-27,Shell,diesel,06 August 2023,Fuel
IT,18284,17308,-976,Amazon,movie subscription,07 August 2023,Entertainment
Finance,15776,15465,-311,Netflix,movie,08 August 2023,Entertainment
HR,15307,13600,-1707,Shell,diesel,09 August 2023,Fuel
HR,5551,3969,-1582,Uber,ride,10 August 2023,Transportation
Finance,8357,7015,-1342,Flipkart,movie subscription,11 August 2023,Entertainment
Marketing,15661,14162,-1499,Starbucks,food,12 August 2023,Food & Dining
Sales,10559,12730,2171,Flipkart,online_shopping,13 August 2023,Shopping
IT,7493,9196,1703,McDonald's,food,14 August 2023,Food & Dining
HR,19522,19351,-171,Netflix,entertainment,15 August 2023,Entertainment
Sales,10760,13208,2448,Apple Store,online shopping,16 August 2023,Shopping
Sales,10868,12899,2031,Netflix,movie,17 August 2023,Entertainment
HR,12468,12268,-200,Starbucks,drinks,18 August 2023,Food & Dining
Marketing,16420,18257,1837,Amazon,online shopping,19 August 2023,Shopping
Sales,11072,13306,2234,Starbucks,coffee,20 August 2023,Food & Dining
Marketing,5530,3285,-2245,Apple Store,app purchase,21 August 2023,Digital Services
Operations,18521,16884,-1637,Shell,diesel,22 August 2023,Fuel
Marketing,14275,14020,-255,Starbucks,food,23 August 2023,Food & Dining
Marketing,16945,18552,1607,Shell,petrol,24 August 2023,Fuel
HR,19679,21610,1931,Shell,fuel purchase,25 August 2023,Fuel
IT,8005,10872,2867,McDonald's,food,26 August 2023,Food & Dining
Finance,15817,13147,-2670,Apple Store,app purchase,27 August 2023,Digital Services
Operations,17841,17948,107,Starbucks,drinks,28 August 2023,Food & Dining
Operations,14070,11348,-2722,Flipkart,online shopping,29 August 2023,Shopping
IT,14994,13686,-1308,Starbucks,drinks,30 August 2023,Food & Dining
IT,9971,12916,2945,Flipkart,online shopping,31 August 2023,Shopping
IT,6439,7906,1467,Flipkart,online_shopping,01 September 2023,Shopping
IT,8845,8523,-322,Uber,ride,02 September 2023,Transportation
IT,16115,17143,1028,Shell,diesel,03 September 2023,Fuel
IT,17585,14720,-2865,Flipkart,online shopping,04 September 2023,Shopping
IT,18996,20965,1969,Flipkart,movie subscription,05 September 2023,Entertainment
IT,12235,9957,-2278,Netflix,movie,06 September 2023,Entertainment
Sales,7753,9077,1324,Netflix,movie subscription,07 September 2023,Entertainment
IT,7970,10847,2877,Starbucks,coffee,08 September 2023,Food & Dining
Marketing,10567,8878,-1689,Flipkart,online shopping,09 September 2023,Shopping
IT,10223,9899,-324,Netflix,movie,10 September 2023,Entertainment
IT,9763,10466,703,Netflix,entertainment,11 September 2023,Entertainment
Sales,16237,15853,-384,Uber,travel,12 September 2023,Transportation
HR,5641,7159,1518,Apple Store,online shopping,13 September 2023,Shopping
IT,9941,11947,2006,McDonald's,meal,14 September 2023,Food & Dining
Sales,13184,12183,-1001,Shell,diesel,15 September 2023,Fuel
Sales,8452,9980,1528,McDonald's,meal,16 September 2023,Food & Dining
HR,8590,8143,-447,Apple Store,app purchase,17 September 2023,Digital Services
IT,9346,6939,-2407,Shell,petrol,18 September 2023,Fuel
Sales,15665,16162,497,Flipkart,movie subscription,19 September 2023,Entertainment
Finance,10248,11405,1157,Amazon,online shopping,20 September 2023,Shopping
Sales,17424,19066,1642,Shell,petrol,21 September 2023,Fuel
HR,16454,13933,-2521,Amazon,online_shopping,22 September 2023,Shopping
Marketing,13851,13780,-71,Shell,petrol,23 September 2023,Fuel
Finance,7136,9504,2368,Amazon,movie subscription,24 September 2023,Entertainment
Operations,13991,15688,1697,Netflix,movie subscription,25 September 2023,Entertainment
Marketing,16912,14781,-2131,Shell,diesel,26 September 2023,Fuel
Sales,6523,9309,2786,Starbucks,coffee,27 September 2023,Food & Dining
Sales,10838,12084,1246,Starbucks,coffee,28 September 2023,Food & Dining
Finance,6314,4748,-1566,Shell,petrol,29 September 2023,Fuel
Sales,13620,13637,17,Amazon,movie subscription,30 September 2023,Entertainment
Finance,19342,20415,1073,Uber,travel,01 October 2023,Transportation
Operations,14910,13445,-1465,Shell,diesel,02 October 2023,Fuel
Finance,6410,7820,1410,McDonald's,drinks,03 October 2023,Food & Dining
Marketing,10338,7542,-2796,McDonald's,food,04 October 2023,Food & Dining
Marketing,19839,21246,1407,Shell,diesel,05 October 2023,Fuel
Sales,12875,10020,-2855,Amazon,online shopping,06 October 2023,Shopping
Sales,5923,3561,-2362,Shell,fuel purchase,07 October 2023,Fuel
Finance,6710,7428,718,Flipkart,online shopping,08 October 2023,Shopping
IT,14331,12377,-1954,Amazon,movie subscription,09 October 2023,Entertainment
HR,5689,8277,2588,Shell,petrol,10 October 2023,Fuel
HR,6411,4170,-2241,Starbucks,coffee,11 October 2023,Food & Dining
IT,9942,8111,-1831,Uber,ride,12 October 2023,Transportation
IT,8720,10294,1574,Shell,petrol,13 October 2023,Fuel
Finance,18208,17995,-213,Shell,petrol,14 October 2023,Fuel
Sales,16354,13596,-2758,Apple Store,app purchase,15 October 2023,Digital Services
HR,6315,6399,84,Amazon,online_shopping,16 October 2023,Shopping
Marketing,6694,9158,2464,Amazon,movie subscription,17 October 2023,Entertainment
IT,11304,9800,-1504,Starbucks,food,18 October 2023,Food & Dining
Marketing,16055,15478,-577,Apple Store,online shopping,19 October 2023,Shopping
Marketing,17011,17243,232,Amazon,online shopping,20 October 2023,Shopping
IT,18835,16625,-2210,Starbucks,drinks,21 October 2023,Food & Dining
HR,15857,17400,1543,McDonald's,meal,22 October 2023,Food & Dining
Sales,7671,7127,-544,McDonald's,drinks,23 October 2023,Food & Dining
Operations,8135,6626,-1509,Apple Store,online shopping,24 October 2023,Shopping
Finance,13898,13710,-188,Flipkart,online_shopping,25 October 2023,Shopping
Marketing,8200,8283,83,Netflix,entertainment,26 October 2023,Entertainment
Sales,9196,6300,-2896,McDonald's,food,27 October 2023,Food & Dining
Operations,11925,11312,-613,McDonald's,coffee purchase,28 October 2023,Food & Dining
Operations,5112,7327,2215,Apple Store,online shopping,29 October 2023,Shopping
Marketing,13362,10892,-2470,Netflix,movie subscription,30 October 2023,Entertainment
HR,16187,14749,-1438,Shell,diesel,31 October 2023,Fuel
Marketing,10920,9045,-1875,Starbucks,drinks,01 November 2023,Food & Dining
HR,18518,19552,1034,Starbucks,drinks,02 November 2023,Food & Dining
IT,9324,10247,923,Netflix,monthly subscription,03 November 2023,Subscription
Operations,18839,21418,2579,Amazon,movie subscription,04 November 2023,Entertainment
IT,12670,14071,1401,Shell,diesel,05 November 2023,Fuel
Sales,19285,19966,681,Uber,ride to work,06 November 2023,Transportation
Operations,10983,13103,2120,Uber,ride to work,07 November 2023,Transportation
Finance,19890,19643,-247,Shell,petrol,08 November 2023,Fuel
HR,6968,7642,674,Apple Store,app purchase,09 November 2023,Digital Services
HR,5237,5508,271,Uber,travel,10 November 2023,Transportation
HR,8744,9533,789,Flipkart,online_shopping,11 November 2023,Shopping
IT,15391,13536,-1855,McDonald's,drinks,12 November 2023,Food & Dining
Sales,7058,8931,1873,McDonald's,coffee purchase,13 November 2023,Food & Dining
Operations,13547,10603,-2944,Flipkart,movie subscription,14 November 2023,Entertainment
IT,6091,5319,-772,Shell,diesel,15 November 2023,Fuel
Operations,6619,7038,419,Netflix,entertainment,16 November 2023,Entertainment
Marketing,12175,13230,1055,Starbucks,drinks,17 November 2023,Food & Dining
HR,8918,6705,-2213,Netflix,movie subscription,18 November 2023,Entertainment
Sales,12086,15047,2961,Starbucks,coffee,19 November 2023,Food & Dining
Operations,7489,4551,-2938,Shell,petrol,20 November 2023,Fuel
Operations,5360,3997,-1363,Amazon,movie subscription,21 November 2023,Entertainment
HR,18803,16879,-1924,Uber,ride to work,22 November 2023,Transportation
Marketing,15271,12554,-2717,Flipkart,online shopping,23 November 2023,Shopping
Finance,17059,15685,-1374,Uber,ride,24 November 2023,Transportation
Operations,10977,9287,-1690,Uber,ride,25 November 2023,Transportation
Finance,16743,17051,308,Netflix,monthly subscription,26 November 2023,Subscription
IT,14638,16153,1515,Starbucks,drinks,27 November 2023,Food & Dining
IT,16934,19609,2675,Starbucks,food,28 November 2023,Food & Dining
HR,14659,16173,1514,Shell,petrol,29 November 2023,Fuel
Sales,11612,13501,1889,Starbucks,food,30 November 2023,Food & Dining
Marketing,13630,11414,-2216,Flipkart,online_shopping,01 December 2023,Shopping
Operations,6961,4900,-2061,Flipkart,movie subscription,02 December 2023,Entertainment
HR,17913,18778,865,Amazon,online shopping,03 December 2023,Shopping
Finance,15282,14083,-1199,Netflix,movie,04 December 2023,Entertainment
Finance,19303,20348,1045,Shell,diesel,05 December 2023,Fuel
Operations,18392,16720,-1672,Starbucks,coffee,06 December 2023,Food & Dining
Marketing,7553,9018,1465,Uber,ride,07 December 2023,Transportation
Sales,7970,7150,-820,Uber,ride,08 December 2023,Transportation
Operations,13825,12327,-1498,Uber,ride,09 December 2023,Transportation
Sales,12366,14352,1986,Flipkart,movie subscription,10 December 2023,Entertainment
Finance,10021,11026,1005,Netflix,entertainment,11 December 2023,Entertainment
IT,8572,10144,1572,Starbucks,drinks,12 December 2023,Food & Dining
IT,17474,14670,-2804,Starbucks,coffee,13 December 2023,Food & Dining
Marketing,12142,11930,-212,Apple Store,online shopping,14 December 2023,Shopping
Marketing,6653,7110,457,Starbucks,drinks,15 December 2023,Food & Dining
Finance,19128,21120,1992,Flipkart,movie subscription,16 December 2023,Entertainment
HR,6443,4099,-2344,Netflix,monthly subscription,17 December 2023,Subscription
Marketing,8153,5706,-2447,Starbucks,coffee,18 December 2023,Food & Dining
Marketing,15152,12219,-2933,Starbucks,coffee,19 December 2023,Food & Dining
Finance,11151,13082,1931,McDonald's,coffee purchase,20 December 2023,Food & Dining
Sales,15027,12312,-2715,Amazon,online_shopping,21 December 2023,Shopping
Sales,18580,19925,1345,McDonald's,coffee purchase,22 December 2023,Food & Dining
IT,6311,5716,-595,Amazon,online shopping,23 December 2023,Shopping
Finance,14512,14410,-102,Netflix,movie,24 December 2023,Entertainment
Marketing,8939,9408,469,Flipkart,online shopping,25 December 2023,Shopping
HR,15510,16038,528,Amazon,online_shopping,26 December 2023,Shopping
HR,6880,6643,-237,Netflix,movie subscription,27 December 2023,Entertainment
Finance,9674,10333,659,Flipkart,movie subscription,28 December 2023,Entertainment
HR,6311,6695,384,Uber,ride to work,29 December 2023,Transportation
IT,19047,21521,2474,Amazon,movie subscription,30 December 2023,Entertainment
Finance,10275,12342,2067,Flipkart,online shopping,31 December 2023,Shopping
HR,13094,12768,-326,Apple Store,app purchase,01 January 2024,Digital Services
HR,5357,6075,718,Flipkart,online shopping,02 January 2024,Shopping
HR,5983,7844,1861,Amazon,online shopping,03 January 2024,Shopping
IT,13967,16509,2542,McDonald's,coffee purchase,04 January 2024,Food & Dining
Operations,16701,15781,-920,Apple Store,online shopping,05 January 2024,Shopping
Marketing,5281,3141,-2140,Apple Store,app purchase,06 January 2024,Digital Services
Sales,16520,14696,-1824,Starbucks,food,07 January 2024,Food & Dining
Finance,7856,7223,-633,Shell,petrol,08 January 2024,Fuel
Sales,19544,22424,2880,Flipkart,movie subscription,09 January 2024,Entertainment
Sales,13430,13409,-21,Shell,petrol,10 January 2024,Fuel
Finance,16828,17930,1102,Amazon,online_shopping,11 January 2024,Shopping
Operations,10168,12307,2139,Apple Store,online shopping,12 January 2024,Shopping
HR,8592,6312,-2280,Starbucks,coffee,13 January 2024,Food & Dining
Finance,10774,9309,-1465,Apple Store,online shopping,14 January 2024,Shopping
IT,10977,7993,-2984,Starbucks,drinks,15 January 2024,Food & Dining
Finance,15643,12679,-2964,Apple Store,online shopping,16 January 2024,Shopping
Sales,19810,19919,109,Amazon,movie subscription,17 January 2024,Entertainment
Finance,6669,8550,1881,Flipkart,online_shopping,18 January 2024,Shopping
Operations,9608,9457,-151,Flipkart,movie subscription,19 January 2024,Entertainment
IT,17341,16626,-715,Amazon,online shopping,20 January 2024,Shopping
Operations,11163,13197,2034,Netflix,entertainment,21 January 2024,Entertainment
Marketing,8393,6595,-1798,Flipkart,online shopping,22 January 2024,Shopping
IT,16880,14428,-2452,Starbucks,coffee,23 January 2024,Food & Dining
Operations,10411,11036,625,Starbucks,coffee,24 January 2024,Food & Dining
